,StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientID,RecipientCondition,UserLanguage,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11
12,9/26/18 12:25,9/26/18 12:37,100,699,TRUE,9/26/18 12:37,R_1lB3aQlUubw7FQD,2018argrewrite_36,A,EN,Disagree,Agree,Agree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,"1/ Have a more comprehensive dictionary. It marked things wrong that were not.
2/Easier cut/paste mechanism.
3/ Simultaneous display of previous drafts and reference material on screen, so one doesn’t have to open up a tab each time one needs to consult one of these.
","Having first read the reference materials over, I realized in reading thorough my previous draft that there was more I could say, more points related to my main position that I could make.",Yes and no. My first revision (second draft) is typically more radical than my first revision of this essay was; very little from the original remains. My subsequent revisions are pretty much like my second revision of this essay (revision done at LRDC).
13,10/17/18 15:35,10/17/18 15:40,100,299,TRUE,10/17/18 15:40,R_p5VkqxjpSvXQps5,2018argrewrite_44,A,EN,Disagree,Agree,Neither agree nor disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,"
I think continuously having those revisions next to my writing would have served as a constant reminder. Additionally, the wording of the revisions seemed to me to be very snarky. Maybe that is just my own personal sensitivities, but that did not encourage me to do better.","The lack of examples revision, I think, really drew my attention to the points that I was making and how I was supporting them. ",No. For me I like to take the night and revise an essay. I don't like being rushed. I like to do many small chunks and bring in different perspectives. That is likely why I finished so quickly on the two revisions.
14,10/30/18 16:38,10/30/18 16:43,100,298,TRUE,10/30/18 16:43,R_Avw7ZJb3U6AanOV,2018argrewrite_56,A,EN,Neither agree nor disagree,Agree,Agree,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,"By putting what the previous comments were for the revision of the first essay. I forgot what the comments were for my first essay, and those could have really helped me with the final revision.",Just by re-reading the prompt and highlighting key factors or issues the prompt wants me to write about.,"Yes it was, usually I go back and re-read my essay like 2 times to look out for grammar mistakes but also to make sure the essay makes sense."
15,10/31/18 17:34,10/31/18 17:40,100,366,TRUE,10/31/18 17:40,R_uah1N9EHGZdfA4x,2018argrewrite_52,A,EN,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Perhaps highlighting what I changed from the second draft the the final draft in a color would allow me to be able to clearly see how much I revised and how much I left untouched. ,I immediately noticed that my conclusion and introduction were lacking. I also noticed my arguement needed improving after reading the prompt and my paper again. ,This made me revise my essay a lot more extensively than I normally would. Seeing my work side by side the previous drafts was helpful in seeing how much I had reslly altered. 
16,11/7/18 14:54,11/7/18 14:56,100,149,TRUE,11/7/18 14:56,R_AnypdaCJS7PVoD7,2018argrewrite_60,A,EN,Agree,Strongly agree,Strongly agree,Disagree,Agree,Disagree,Disagree,Agree,,Re-reading my latest draft for errors,"No. I rarely look at previous drafts separately, but instead I always interact with the latest version of any essay. "
17,11/28/18 14:41,11/28/18 14:45,100,257,TRUE,11/28/18 14:45,R_1pmO5ur9SIda9I8,2018argrewrite_68,A,EN,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,The system seemed very simple to me. Maybe if there was a highlight feature that would be nice because a lot of times I highlight things that need to be fixed.,"I think that the time I spent away from this essay, helped me identify errors. A lot of times, when I revise write after writing my essay, I do not catch many mistakes or parts that are not fully clear, however with the time slots between each step to this essay, I was able to identify a lot of areas that needed revisions.","No because usually I do not go back and re-read my essays later. I usually write them in one night then read them after I am finished writing and then submit them, but I can see through this essay that time away from my essay would be much more helpful."
18,12/6/18 16:35,12/6/18 16:38,100,234,TRUE,12/6/18 16:38,R_Btsli8HB3NSCYtr,2018argrewrite_64,A,EN,Disagree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,It shows very clear what my first and second draft was. layout is easy to understand. ,My habits. Every time I look at my articles I could find something need revision.,yes
19,12/12/18 10:24,12/12/18 10:27,100,214,TRUE,12/12/18 10:27,R_2ZCbEV7UghDZthj,2018argrewrite_72,A,EN,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,The revisions it provided were somewhat vague. It would’ve helped to understand what exactly it meant. ,"I realized some of the paragraphs did not have a strong claim. I also realized I had a lot of evidence, but not a lot of discussion and unpacking of the evidence. It felt like I was just taking some points from a previous article and listing them instead of incorporating into an actual essay. ","I usually only look over my essays twice. And rarely end I’m changing structure. 

I have an outline and so the structure usually remains the same. I like to write everything out at once when it’s fresh, and go back and edit syntax, word choice, and sentence flow when it’s done. "
20,1/31/19 12:28,1/31/19 12:33,100,281,TRUE,1/31/19 12:33,R_Z7Wef1GRQqupzep,2018argrewrite_76,A,EN,Agree,Strongly agree,Strongly agree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,"It clearly lay out the drafts and the hints. It would be better if it has
1) larger letter size for blind people like me
2) grammar or spelling checks
3) juxtapose hints / questions and the writing pad","1) No obvious logic flow. I don't understand why the sentence would follow the other one.
2) Redundant. I get no useful new knowledge in the following sentences.",Not really. It is much clearer than what I normally treat mt drafts. Also I seldom change that much in each draft. I feel like this system somehow encouraged me to change more than usual.
21,2/5/19 13:58,2/5/19 14:02,100,230,TRUE,2/5/19 14:02,R_3dRnA9HNFiBw8i8,2018argrewrite_80,A,EN,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,The system could offer more specific feedback suggestions like the first round of revisions offered.,"The ""hints to rewrite"" section on the tutorial helped me realize how I could improve my essay.","This had more revision rounds that were more spaced out than I normally do, but the process of making edits was generally the same."
22,2/27/19 15:12,2/27/19 15:21,100,499,TRUE,2/27/19 15:21,R_3lG2KKDT9S6D95w,2018argrewrite_84,A,EN,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,"The only way I could see the system being more helpful is by providing revision feedback after the second draft. Otherwise, I thought it was greatly helpful!","The first thing that led me to notice revisions I could (and should) make was the feedback I received. That then prompted me to take a deeper look at the organization of my essay. I started to think about how I could restructure the piece to make my argument stronger. After I read through my drafts and revisions, I noticed areas that needed more explanation. The feedback also forced me to think about why I was saying was I was and how I could revise to decrease the holes in my argument.","This revision process was much longer than what I normally go through. I am an English writing major, so I am no stranger to the revision process, but this felt more like the revision responsibility was on me, so I slowed down my editing and thinking process in order to give myself a better chance of revising with purpose."
