,StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,RecipientID,RecipientCondition,DistributionChannel,UserLanguage,Q2,Q10,Q11,Q12,Q13,Q15,Q16,Q20,Q17,Q18,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32,Q33,Q34,Q35,Q37,Q6_First Click,Q6_Last Click,Q6_Page Submit,Q6_Click Count,Q38,Q8,Q9 - Topics
41,6/6/2018 7:22,6/6/2018 15:15,100,28359,TRUE,6/6/2018 15:15,2018argrewrite_24,C,email,EN,I agree,Other,,Yes,,2,Confident,,"Writing organization,Strong ideas,Correct grammar,Clear explanations of my ideas","Sentence structure,Staying focused on my main idea",Agree,Agree,Strongly disagree,Agree,Neither agree nor disagree,,,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Agree,15.734,4581.677,4610.7,121,"The pro in which I was most interested was the one that stated self-driving cars could help with traffic congestion and travel time. I found it interesting because it was something that I had never considered. I was not familiar with the term 'platooning' and never thought that something like rush hour could be nearly eliminated with self-driving cars. 

The con in which I was most interested was the one that stated it could have a negative impact on the economy because it could cause a loss of jobs for those in the driving and transportation industry. I found this fact interesting because I could see how it really could have a spiraling affect - taxi drivers, freight drivers, delivery drivers, limo drivers, bus drivers, etc. ","As with the advent and introduction of any new technology, there are pros and cons that arise with the implementation of that technology. This is also true with autonomous, or self-driving, cars. With the testing of self-driving cars currently happening in several cities across the United States, the debate on whether or not autonomous cars are safer than those driven by humans has come to the forefront of the public health and wellness debate in the media. Many cars already come equipped with some of the basic technology - autonomous breaking, self-parking, or sensors that detect close objects, so we may be closer to the future than we think.

There are several pros for the use of self-driving cars, and one of the biggest is safety. While a small percentage of car accidents could be caused by mechanical failures, the majority are caused by a distracted driver. A computer driver would take the human element factor out of the equation and remove most of the danger just by being a computer. Computers make for the ideal driver as they will not get tired, lose their eyesight, get distracted, imbibe in drugs or alcohol, etc. Computers also use specific algorithms to calculate speed, stopping distance, and other collected information that help to dramatically decrease the chance of an accident. 

In addition to safety, there are many other positive side-effects to autonomous driving. Self-driving cars could help with traffic optimization, as the cars could communicate with each other to help identify traffic problems and their specific algorithms and sensors could help to reduce commute times while also allowing more cars on the road with less traffic. People with disabilities would have more options at their disposal. Police could focus less time on traffic stops and more time on other crimes. People would have more time to do other thigns with less parking and DMV headaches for drivers. The benefits are endless. 

With all the good things that come with technology, there are bound to be some bad things, as well. One of the biggest downfalls anticipated with self-driving cars would be their affect on the economy. Not only is the cost of implementing the new technology more expensive than most Americans can afford, it could also eliminate a lot of jobs in transportation. It is also expected that since most self-driving cars are powered by computers, that they would be electric cars, further putting a strain on the gas industry. Reliance on technology could make a driver's license, insurance, the DMV, and other driving related vendors obsolete. The benefits of self-driving cars would also depend upon more people opting into the option. 

Other downfalls to autonomous cars would be the flaws with technology itself. A computer cannot detect a road block or read human hand signals, so road construction would be an obstacle. The sensors are located on the outside of the vehicle, so severe weather can damage them. Computers attract hackers and software requires user information, so there is always a chance for breach of security. Another risk would be the technology failure where a person must take over the controls - what if it is someone that has never driven their own car before? What if the GPS goes down? How will a person be able to get to where they need to go?

While a completely autonomous driving society is probably a ways off, society certainly seems to be moving towards it. I do believe that self-driving cars would be a benefit in many ways - safety, inclusion, environment, and time/traffic - but I think we have some questions that need to be answered before we get there. While there may be jobs that are lost in transportation, there will be jobs that are created with the technology and manufacturing of these vehicles. The inclusion of people with disabilities, the elderly, and those that do not have a license is a powerful tool for those that were previously reliant on others. In my opinion, self-driving cars will get over the hump and be a part of the near future, at least in a small realm. ",
42,5/22/2018 5:11,6/8/2018 8:05,100,1479253,TRUE,6/8/2018 8:05,2018argrewrite_25,D,email,EN,I agree,Graduate student,1st year,Yes,,2,Very confident,,"Writing organization,Strong ideas,Sentence structure,Good evidence,Strong explanations,Clear explanations of my ideas,Strong thesis","Vocabulary choice,Correct grammar,Staying focused on my main idea",Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Agree,Agree,Strongly agree,Neither agree nor disagree,Agree,55.855,2022.236,2023.236,9,"Pro : Drunk driving incidents should decrease, because there's no
designated driver needed when the car drives itself

Con: A self-driving car doesn't completely eliminate the likelihood of a car
accident. In fact, there's no legal precedent for how a case would be
handled. The difficult question of who holds responsibility in a car
accident- the driver? The car manufacturer? The software developer?
Could be tricky to answer","This article was interesting and mentioned points that I hadn't thought of before.  I do think that the self driving cars would help decrease the number of accidents that are caused by human error.  There are many heart breaking stories of death or serious injury resulting from persons under the influence getting behind the wheel.  One would think that the number of incidents would decrease with the popularity and affordability of Uber and Lyft.  It is much easier to get from point A to point B when you can simply order a driver on these apps.  Many people still choose to take the risk and drive themselves.  With self driving cars, we would not have to rely on intoxicated people to make the responsible decision to get a designated driver.  

The con I chose seems to be the most complicated logistically.  Who is blamed when something goes wrong?  If a child runs out in front of a car and the car cannot detect it quickly enough and does not stop, who is to blame?  I believe that many people would argue the side of what would happen if it was a human in control of the vehicle?  Would they have been able see the child out of their periphery and anticipate the child might run towards the road?  Perhaps the accident could have been prevented.  To add to this predicament, there will be people attempting to blame to manufacturer for visibility issues.  Other may argue that the driver should have been paying attention still.  What would the rules for that be?  Should the driver still be 100% focused on the road? If that is the case, then that would be conflicting with the pro that people under the influence could still use their cars.

From reading this article, I would have to say that, while self driving cars come with benefits,  I do not think we should work on replacing humans drivers with them solely.  I think that if the purpose is to make driving safer and minimize accidents, then drivers should also be 100% attentive to the road.  I think that driving and traffic conditions are too complicated to leave to just a robot.  There  are many last minute decisions that humans make that can actually save lives.  A self driving car would provide too much comfort to drivers and perhaps lead to them being less cautious.  A false sense of safety behind the wheel is very dangerous.  I think that even with self driving cars, drivers should be held responsible for any accidents (unless there is a true manufacturing error that causes the accident) because I believe that the responsibility still falls on the human to operate the vehicle safely.",
43,6/3/2018 16:29,6/8/2018 13:12,100,420171,TRUE,6/8/2018 13:12,2018argrewrite_26,A,email,EN,I agree,Undergraduate student,2nd year,Yes,,3,Not very confident,,"Writing organization,Good evidence,Strong explanations","Vocabulary choice,Sentence structure,Correct grammar,Staying focused on my main idea,Clear explanation of my ideas,Strong thesis",Neither agree nor disagree,Agree,Strongly agree,Agree,Disagree,,,Disagree,Agree,Agree,Neither agree nor disagree,Agree,Disagree,Disagree,Neither agree nor disagree,10.067,1433.726,1538.7,31,"Pro: Humans can be easily distracted by a multitude of things such as cell phones, other people, or even things on the side of the road. These distractions are the cause of many accidents in the US, and since a computer doesn't get distracted, there will be many fewer motor vehicle accidents in the US.

Con: If some of the other traffic technology were to fail (such as traffic lights during a power outage), there would be no protocol for what the cars would and should do.","There has been much discussion on the topic of self driving cars recently. Many people think that having self driving cars on the road would be a bad idea. They worry about things like liability in the case of accidents, and loss of jobs for truck drivers and others employed in the automotive industry. However, self driving cars are the way of the future. The pros of having self driving cars on the road vastly outweigh the cons. The effects of self driving cars will benefit society in a multitude of ways, and will allow mankind to advance further in technology and science alike.

There are many ways that the advent of self driving cars will be beneficial to mankind. For example, many people get distracted while driving, which is one of the leading causes of motor vehicle accidents in the United States as of now. However, if a computer were to take control of the car, there would no distraction; the computer would stay completely focused on the road, effectively cutting the amount of accidents greatly. This has more implications than just saving human life, there would also be much more money saved as a result of this. Right now there is 9.2 million dollars saved for accidents on the road, less accidents would mean less of this money would have to be saved and could be used in other areas such as infrastructure. Additionally, many cars even have features that resemble early stages of self driving cars; most cars have sensors to detect objects, have autonomous breaking, and many other driver-less car like features. Making the step to fully autonomous cars is not actually as big as a jump as critics may believe. There are many benefits that self driving cars may have for society, and this op-ed only covers a fraction of how self driving cars have the potential to help humanity.

Even with all of the benefits that self driving cars have to offer, there are still some things that critics are worried about. For example, many people worry that people may not have the skills needed to operate cars, and if there was a glitch, this may turn into a serious issue. However, there could easily be regulations enacted that would require drivers to take a test every year or so, to ensure that they can take over in the case of an emergency. Another common concern is handing over the power of the car to a computer, which can malfunction with a small coding error. This is not a valid concern though, as each car would be thoroughly tested before consumer use, and furthermore, humans have even more capacity to 'malfunction' and cause an accident that computers do! Though people may have concerns about the effects of self driving cars on society, they will ultimately accomplish more good than they will harm.

Self driving cars is the subject of much scrutiny. There are many people with strong opinions for both sides. However, after reading this op-ed, I hope that I have convinced you of all of the benefits that self driving cars can bring, and I hope that you are now a supporter of the idea.",
45,6/9/2018 20:10,6/9/2018 21:17,100,3998,TRUE,6/9/2018 21:17,2018argrewrite_27,D,email,EN,I agree,Undergraduate student,4th year,Yes,,2,Confident,,"Writing organization,Strong ideas,Sentence structure,Staying focused on my main idea,Strong thesis","Vocabulary choice,Sentence structure,Correct grammar,Strong explanations",Agree,Agree,Strongly agree,Agree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Neither agree nor disagree,Agree,291.259,3535.641,3600.01,12,"Pro: Although their is a debate between what is safer, a self-driving car or a car driven by a human, it is clear that because a self-driving car is run by a computer, it is much less likely to get into a crash. This is interesting because it shows the potential of a self-driving car. 

Con: Simply because there are self-driving cars in the future, humans still have to learn how it works and how to take over if necessary. This is interesting to me because it is probably not what most people think about when a self-driving car is discussed. People probably think more about sleeping or being on their phone while in a self-driving car. ","Self-driving cars seem to be a thing of the future, but as reports of self-driving cars on the streets keep coming up in the media, their dawn on society is evident. There are several proponents against the use of self-driving cars, citing issues of increases in fatality, increases in cost, and legal claims. Nevertheless, manufactures continue to push for testing of this technology and the positives of self-driving cars far seem to outweigh the negatives.  
	The first reason several groups lobby against the implementation of self-driving cars is because of their fear of increased chance for an accident. The argument typical goes that if no one is controlling the wheel of a car, it is likely that the computer will make a mistake and possibly get into an accident or even kill someone. Despite this perspective offering a frightening future, citing cases where individuals have been killed by a self-driving car, it is quick to assume the worst. The fact is that 81 percent of car crashes are caused by human error and the implementation of a self-driving car would eliminate this percentage completely. For any crashes that are caused by a self-driving car, it is likely to be significantly less than that of human error. 
	The second most common reason cited against self-driving cars is the cost of implementing the technology necessary for a self-driving car. Admittedly, the cost associated with the computer software, sensors, and other research and design will surely add to the cost of the car. But what is often overlooked is the significant reduction in insurance costs that will take place. The U.S. Department of Transportation values a human life at $9.2 million, with insurance companies using similar estimates when it comes to fatal car crashes. The burden of a possible crash would be taken off the hands of a human if one were to occur from a self-driving car, however unlikely, therefore reducing costs of insurance and healthcare costs. Another way costs are saved is through the time that will instantly become available to an individual’s when in a self-driving car. Time is money, and if a self-driving car can offer an individual time in their day where they don’t have to worry about stopping at a red light or merging lanes, that is an immediate way to save money. 
	One final reason used to challenge self-driving cars is the fact in legal precedent exists to settle a case where a self-driving car does cause an accident. In the case this does happen, questions of who is responsible and who must pay for damages will surely arise. This is an issue that our society is bound to see arise constantly as we continue to push the current boundaries of technology. To say that society should stifle its growth in the fears of setting legal precedence on a new issue is to prevent the discovery of solutions to current and future issues. If the self-driving car is a solution toward a safer, more productive and cost-efficient future, it is our duty as a society to make sure this technology succeeds. 
",
47,6/13/2018 14:26,6/13/2018 15:45,100,4782,TRUE,6/13/2018 15:45,2018argrewrite_28,D,email,EN,I agree,Other,,Yes,,2,Confident,,"Writing organization,Vocabulary choice,Sentence structure,Correct grammar,Staying focused on my main idea,Strong thesis","Strong ideas,Good evidence,Strong explanations,Clear explanation of my ideas",Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,,Agree,17.338,2613.119,2614.645,11,"Up with Self-Driving Cars and Down with Gasoline Industry
     Self-driving cars will eliminate many accidents and the gasoline industry which causes too much pollution and whose time has run out. Electric cars are more efficient and generate less pollution. The computer running the car won’t be distracted like humans. Distracted driving is a common cause of traffic accidents. Often people like to talk on their cell phones while driving which is highly dangerous. The average attention span is only eight seconds so a person might not respond fast enough to a deer in the headlights or a bicyclist going past. Human error causes 94% of traffic accidents. Most traffic accidents are caused by drunk and distracted driving.
","Up with Self-Driving Cars and Down with Gasoline Industry
     Self-driving cars will eliminate many accidents and the gasoline industry which causes too much pollution and whose time has run out. The computer running the car won’t be distracted like humans. The average attention span is only eight seconds so a person might not respond fast enough to a deer in the headlights or a bicyclist going past. Human error causes 94% of traffic accidents. Most traffic accidents are caused by drunk and distracted driving.
     A self-driving car will prevent many accidents especially ones caused by distracted drivers. Distracted driving is a common cause of traffic accidents. Often people like to talk or text on their cell phones, eat and drink, talk to people in their vehicle, or play with the radio/CD player while driving which is highly dangerous. Children, pets, conversations, and preoccupations such as applying makeup can distract a driver.
    Other causes of accidents such as speeding, drunk or reckless driving, running red lights, running stop signs, unsafe lane changes, wrong-way driving, road rage, and drowsy driving will be eliminated. 
     A self-driving car will probably be electric and electric cars will be better for the environment. Electric cars are more efficient and generate less pollution. An electric car is very quiet and very smooth compared to gas operated cars which are clunky and outdated. Electric cars are cheaper to operate so have a big cost advantage over gas. Electric cars are also more efficient so cost about one-third to one-quarter the cost of gasoline. Maintenance costs are less since electric cars don’t need oil changes. Since electric cars don’t have a tailpipe they will improve the air quality.
     Gas cars pollute the atmosphere so it’s time we eliminate or lessen the gasoline industry so we can breathe healthier air. High levels of chemicals taken in from gasoline exposure like benzene may cause cancer. The inhalation of fumes can lead to confusion, dizziness, headaches and breathing difficulties. Using gasoline is bad since it relies on fossil fuels which are in short supply and dwindling. Therefore it’s time we switched to electric cars.
     The mechanics in gas garages can be trained to work on electric cars instead or for other jobs. When we switched from the horse and buggy to cars we didn’t worry about the people who raised horses losing jobs. We can’t let that stop inevitable progress. People who don’t own cars will still ride the buses and take taxis so those operating the vehicles will still have jobs.",
48,6/17/2018 12:09,6/17/2018 13:22,100,4391,TRUE,6/17/2018 13:22,2018argrewrite_29,D,email,EN,I agree,Undergraduate student,2nd year,Yes,,2,Extremely confident,,"Writing organization,Strong ideas,Good evidence,Strong thesis","Vocabulary choice,Sentence structure,Correct grammar,Clear explanation of my ideas",Agree,Strongly agree,Strongly agree,Agree,Agree,Disagree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Disagree,Agree,Disagree,Agree,29.398,3417.5,3449.629,79,One pro that I find interesting is number 7 which essentially states that self driving cars would significantly reduce traffic and maximize gasoline usage. This point is interesting because rush hour traffic is such a prevalent issue throughout countless states and cities. I think this take on the argument would convince others to buy self driving cars. One con that I find interesting is number 8 which states that self driving cars would struggle in inclement weather. I find this point interesting because I was somewhat surprised that the developers did not originally create self driving cars to handle any type of weather. ,"Self driving cars are a highly debated topic simply because they pose virtually equal amounts of advantages and disadvantages. They offer more efficient transportation, mobility for all people, theoretically safer roads, and overall convenience by improving quality of life. In contrast, they also threaten jobs for those who work in transportation, pose danger in the event of a malfunction, are unable to understand human intention, and rely on somewhat faulty GPS systems. With such important advantages and disadvantages one has to ask if the risk is worth it. Society does not really need self driving cars, but given the direction of technological advances of late, self driving cars seem like a logical next step. The whole point of the digital age essentially is to improve life for everyone and self driving cars have enough potential to do that. Self driving cars are beneficial to society because their potential benefits outweigh the solvable costs they pose. 

The benefits of self driving cars are so wonderful that they diminish the argument to be made against self driving cars. It's no secret that humans are consumed by technology and appear to not get enough of it. The evidence lies in the fact that we can not seem to stay focused on the road for the duration of a car ride without checking our phones for insignificant messages and calls. These seemingly innocent phone checks while driving end up claiming the lives of thousands per year despite laws against texting or calling while on the road. Take Maryland for example, a state with some of the strictest laws against using a cell phone while driving yet it still ranks as one of the highest states for the worst drivers and most fatal accidents. People will continue to break the law as they please, but a computer will not. The computer in a self driving car can not be distracted as shown in pro number 3. For those that argue that yes a computer can not get distracted but they can malfunction I offer this rebuttal: Cars malfunction all the time even without a computer in them. I've read and heard numerous news stories about people driving and all of a sudden their breaks do not work causing them to crash into other drivers. In addition, malfunctions can be easily prevented if not at least securely managed if car companies are forced to offer routine check ups and software updates for the self driving cars. Essentially all of the cons about self driving cars are solvable and preventable problems that fail to overcast a permanent reluctance for their existence. Take for example the argument that self driving cars can not interpret human traffic signals. Embed a software that allows the cars to recognize when a light is out and a human is directing traffic. The car can analyze the human or ask the human in the car what it should do. Of course this is no easy feat but there are enough intelligent people in the world to figure this issue out and others just like it. From being better for the environment to reducing traffic and increasing mobility for the elderly and disabled, self driving cars have countless benefits that society seems to be passing up on.

Self driving cars present more benefits than costs, therefore, they should be implemented in the technology of tomorrow. If more information is shared about self driving cars and how their potential costs can be managed and prevented more people will be willing to make the switch and live a safer, easier life. The decision is simple, the technology exists, the only real debate here is whether society is ready to finally start living in the ""future"". ",
50,6/19/2018 11:07,6/19/2018 12:51,100,6227,TRUE,6/19/2018 12:51,2018argrewrite_35,A,email,EN,I agree,Undergraduate student,1st year,Yes,,2,Not very confident,,"Writing organization,Correct grammar,Staying focused on my main idea","Strong ideas,Vocabulary choice,Strong explanations,Clear explanation of my ideas,Strong thesis",Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,,,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,14.293,4570.758,4586.301,44,"In a situation where human traffic signals are required, such as a police officer directing traffic, a self-driving car would not be able to interpret these signals. Despite the argument that self-driving cars are safer than human driven cars, this may not be true in unpredictable situations where prior human knowledge is required.
Self-driving cars are able to communicate with each other, which helps to reduce traffic and hazardous situations on the road. This strategy to avoid accidents and make roads more efficient has not been used before and could lead to a significant improvement in road safety.
","In our rapidly developing society, new technology has an impact on so many new industries, especially in transportation. Currently, many cars have features such as motion sensors and autonomous braking. As these features become more prevalent, there is a question of whether self-driving cars will eventually take over the roads. Self-driving cars are determined to be safer than human driven cars due to the removal of human error. They are also proven to be more efficient because the computer has the driving responsibility, and more accessible to those who are not able to drive cars themselves. Unfortunately, there are some disadvantages to self-driving cars. Computers are unable to respond to human signals and unpredictable situations, which may be a serious safety concern. The use of self-driving cars may also have a negative effect on the economy because it eliminates many jobs such as taxi drivers, personal injury lawyers, and drivers ed instructors. However, the advantages in safety, efficiency, and accessibility of self-driving cars outweigh these possible risks and demonstrate that self-driving cars would be a very beneficial addition to our society.

Safety is the most notable advantage of self-driving cars. Research shows that 81 percent of car crashes are due to human error. Many factors can lead to unsafe driving for humans, such as distractions, driving under the influence of drugs or alcohol, and speeding. Since computers are not affected by these factors and instead use precise algorithms to drive, this greatly reduces the risk of accidents. Self-driving cars, however, have some disadvantages that human driven cars do not, such as risk of malfunction in certain weather conditions and inability to follow human traffic signals. There is also a question of what the driver may have to do if the technology malfunctions. However, these are all situations that occur infrequently. The situations in which self-driving cars would save lives occur much more frequently, showing that the safety advantages outweigh the possible risks.

Self-driving cars also have many advantages when it comes to efficiency in cost and time. With fewer accidents on the road, money will be saved for insurance and healthcare. Drivers are also able to use time on the road to complete other tasks since they don’t have to focus on the road. In large groups, self-driving cars participate in platooning. The cars are able to communicate with each other, which helps to reduce traffic and hazardous situations on the road. This saves time, gasoline, and also allows cars to travel at higher speeds, further saving driving time. Overall, the efficiency of self-driving cars reduces traffic and makes the road safer.
	
Finally, the accessibility of self-driving cars gives access to transportation to those who cannot drive cars themselves, such as disabled and elderly individuals. Disabled individuals often rely on others for transportation or have to use public transportation, greatly inhibiting their mobility. Access to self-driving cars would allow these individuals to travel in a more convenient way, granting them more freedom. This is true for elderly individuals as well. People often worry about allowing their elderly parents drive at a certain age, concerned about their safety but not wanting to take away their independence. With self-driving cars, this would not be an issue.
	
Though the technology for self-driving cars is not completed yet, these cars demonstrate how technology increases safety, efficiency, and accessibility. If their development is successful, the use of these cars will have a positive impact on the transportation industry and society in general.
",
51,6/19/2018 12:43,6/19/2018 14:18,100,5706,TRUE,6/19/2018 14:18,2018argrewrite_31,D,email,EN,I agree,Graduate student,2nd year,No,Hindi,3,Confident,Somewhat comfortable,"Writing organization,Clear explanations of my ideas","Sentence structure,Staying focused on my main idea",Agree,Strongly agree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Agree,12.147,2958.882,2959.555,128,"The positive side:
The differently-able people can now explore life with speed, thank to the self-driving cars.  From problems such as driving, find parking, tackle traffic and plan the next exit. These autonomous driving cars can even talk to each other and manage a faster trip in extreme traffic scenarios. 

Mostly such people rely on public transportation,or others to get around. This comes forth with a sense of self-pity and helplessness. If they wish to pursue any interests, the commute dampens their motivation. The auto-cars promise to provide enhanced mobility along with self-sufficiency.

 The negative side:
The laser-sensors mounted on the self-driving cars do not function properly in rain. This might pose serious safety threat to the car as well people. Autonomous cars are a developing technology with a lot of scope of improvement. There are lot of loop-holes in the system. Such technology should be adopted only after it 100% secure.","Self-driving cars are a adaption of auto-pilot mode for air planes. It is a promising invention for people in big cities, where pollution and  traffic are going and space is decreasing. Imagine, just sit in the air conditioned car, sleep for half an hour and reach your destination. This too without any worries of parking and the traffic. 
         Like every coin has two sides, this new technology comes up with its set of pros and cons. On one hand, we might just not worry about the rain during our travel, on the other hand, the car's sensors might stop working and car might lose its control.
         On one hand, the there might be no insurance cover required for cars because the computer is making all the decisions. On the other hand, in case of any accident, there would be no one to blame.
         This technology can be used to provide faster health care, better traffic management and closer car parking to users. 
       There is a debate that its a new technology, still in its development phase. There is no scope of error here, as it will directly deal with loss of human life and monetary resources. These cars do not have a controlled environment. There can be a drunk driver on the road, or someone missed the stop sign. A kid might crawl down the road or a new driver may miss the signal. The weather is a natural factor, which we can not control.

    After evaluating all the pros and cons with equal weight, i think the self-driving  cars are the need of the future. The most strong evident is that this technology is already implemented in air planes and Automatic People Movers on the airport.
 
 All the smart and big IT giants fully support this new technology. This technology can bring up a life-changing experience for differently-able people. They no longer need to compute on public transportation. They can be self-reliant to go to university and jobs. This will help their families too.
  These cars don't require technical knowledge to be operated. A kid as well as a old person both can easily travel without company.
     All the big cities like New York, Shanghai, Hong Kong,Mumbai where people spend a lot in the traffic can definitely utilize this new technology to manage the time and pollution on the roads.
    All these factors are strong enough to accept this way to driving. If still there is any doubt, we can consider the following factors: a drunk driver, a pregnant women in urgent need to reach the hospital, a mother with two crying kids in the back seat, an old person not able to bear the glare of head lights. If all such people are driven to their destination, we can imagine how thankful they would be to the self-driving cars.",
53,6/21/2018 11:18,6/21/2018 12:14,100,3365,TRUE,6/21/2018 12:14,2018argrewrite_32,D,email,EN,I agree,Undergraduate student,3rd year,Yes,,1,Confident,,"Strong ideas,Good evidence,Strong explanations,Staying focused on my main idea","Vocabulary choice,Sentence structure,Strong thesis",Agree,Disagree,Disagree,Disagree,Strongly disagree,,,Disagree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,8.376,2498.906,2500.296,88,"One of the more interesting pros that intrigued me was that self driving cars would be extremely useful for those who could otherwise not drive. Those who are disabled or, quite frankly, too old to drive would be able to benefit from these cars. Also, this would be great for drunk individuals who are momentarily not fit to drive. On the other hand, just because this eliminates the need for the person to be physically capable to drive, there is still a need for the person to educate themselves on how to operate the vehicle safely; this is mental capacity is important in the case of malfunctions.","Society is constantly growing and adapting in regards to its' technology. Products becoming available to the public nowadays would have been completely unfathomable years prior. One futuristic concept being tested now is the idea of self-driving cars.This technology is appealing to society for numerous reasons: accessibility, perceived reduction in accidents, predicted traffic efficiency, etc. On the contrary, there are also many cons to implicating self-driving cars within society: cost, program malfunctions, future driving incompetence, and the future lack of necessity for many jobs involved in physical driving. Despite the good that can come out of self-driving cars, ultimately, the cons of self-driving cars outweighs the benefits it could potentially have for society.
According to the article, one of the leading drives of the desire for self-driving cars is that it will greatly reduce accidents on the roads; however, there are so many factors that need to be perfect for this to be the case. The passenger still needs knowledge of how to operate the mechanics of the car in order to avoid accidents, and with human error being a possibility, there is already a flaw in being accident free. Also, in bad weather situations this can complicate the cars laser sensor on the top; therefore, this means the passenger must be ready in case this malfunctions, and this means accidents driven by human error can occur. Cars can also not be fully programmed with every single possible local driving law, possible road hazard, and construction rerouting. In fact, GPS programs are not always accurate nowadays, but manual driving can correct for this; if a car doesn't have this information it can lead to accidents.There is absolutely no way to ensure that self-driving cars can drastically change accidents.The cars would also complicate legal trials for when accidents do, and inevitably will occur. Who is at fault? The car? The manufacturer? The passenger?
Self-driving cars also cause more harm than good in regards to society and the public. For one, most of the general public will not be able to even afford this. As of now, the costs for engineering, power, and everything else are estimated to at least $100,000. To even reap the slight benefits of the self driving car, it must be implemented in a large quantity of society, and this does not seem practical. Also, even if they are implemented this means that a lot of otherwise important occupations will no longer be needed. Auto manufacturers, drivers ed companies, personal injury lawyers, and the gasoline industries would struggle with finding work. Many people could get laid off due to the lack of need for them, and thus a negative impact on the unemployment rate and economy would be seen.
Technology is a great advantage in modern day society, but only when applied where it is really needed. Would you want to live in a world who eventually has lost the ability to operate a car? A society so reliant on technology that in the result of a glitch or recall could be left with no way to get around due to their reliance on a self-driven car? An innovation that led to the destruction of many jobs for working Americans? Why deal with all of these dilemmas when the task of manually driving a car would eliminate so many economic, moral, and safety dilemmas?",
54,6/20/2018 20:29,6/21/2018 15:43,100,69236,TRUE,6/21/2018 15:52,2018argrewrite_33,D,email,EN,I agree,Undergraduate student,4th year,Yes,,1,Confident,,"Vocabulary choice,Good evidence,Staying focused on my main idea","Writing organization,Correct grammar,Clear explanation of my ideas,Strong thesis",Strongly disagree,Strongly disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,,,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Neither agree nor disagree,19.42,3711.838,3733.861,111,"A big ""pro"" regarding self driving cars would be the fact that they are more defensive and cautious than human drivers would be, thus reducing the risk of car accidents. I find this interesting because car accidents are highly prevalent in our society, whether they be from driving while under the influence, or while being distracted by something such as a cell phone. A 'con' that stuck out to me was definitely the one in which there would be considerable job loss in the public transportation sector. Although see driving cars are safer alternatives,  these people will be put out of their jobs because of this technology. ","Technology is evolving everyday and is a huge part in our lives as humans living in the 21st century. It is almost like living in a Sci-Fi movie. From our phones,tvs and even to our refrigerators, everything seems to be 'smart', and pretty soon, we might even be ale to put our cars on that list. A world with self driving cars might not be too far off for us, as Google has been testing cars that indeed drive themselves in certain states. But, are these cars really more beneficial for us as a society? Some may argue that, yes, self driving cars would be more beneficial because they are safer than human drivers, which would reduce car accidents tremendously. I hold with the opinion that these cars would not be more beneficial, because they are more costly, not only in money, but could be costly with lives as well. 

It has been shown that upwards of 33,000 people die annually from car accidents, and many people believe that these self driving cars can be the resolution. Car accidents are often caused by human error, like distractions. Many people in support may argue that these self driving cars are ran by computers, thus unable to become distracted, significantly lowering the probability of fatal car accidents. These cars are ran by complex algorithms that allow the car to be aware of its surroundings, as well as have a faster response time which would be beneficial for stopping. With the value of a human life being around 9.2 million, it is proposed that these cars wold save millions of dollars with the reduction of accidents. 

All of this sounds like an amazing, but self driving cars would actually do more harm than good. First, these cars would be more costly in any ways. Car accidents caused by human error may decrease, but accidents based on computer error are still very likely, thus still causing a high cost in human life. As far as monetary costs go, in the case of an accident caused by these self driving cars, who would be to blame?  Some may argue the manufacturer, others the software developer, but fatal deaths caused by these cars can cause a long, expensive, and tiring legal battle for the people involved. These cars would cause many people in the transportation circuit to be put out of their jobs. Taxi drivers, cab drivers, delivery people, and many many more will be unemployed because of these technologies, thus greatly affecting their livelihoods. These cars may even endanger the insurance job markets because the need for car insurance will be no more. 

With all of the reliance on technology, self driving cars may sound great at first glance. But, these things that might improve one aspect of human life, will severely diminish the livelihoods of others. Self driving cars can be dangerous, and will damage the job market. Say no to self driving cars. 
",
